,user_handle,tweet
0,Gaurav Sabnis,"Modi's US visit this time has unleashed a wave of mainstream media critiques in the US like never before. And of course, the Congressional boycott. 

How many will they call anti India and Soros funded?"
1,Gaurav Sabnis,And it's all way more nuanced and hard hitting than I expected. Almost every outlet.
2,Gaurav Sabnis,"Btw have you noticed that the right wing media, other than Musk, has shown no warmth towards Modi or Sanghis. Sanghis randomly act like GOP's best friends. 

Much like a century ago with the 1930s sangh, the affinity they feel for white fascists is entirely one sided, lol."
3,Sharad Bandelkar,"Wht is the accountability of Journalists?
Politicians have to come before PPL and r accountable.
Criticizing doesn't require much talent.
Taking decisions and implementation requires qualities.
PPL r learned and doesn't give much importance to these media reports."
4,Godrej & Boyce,"Prepare to be pleasantly surprised as we reveal our footprints in the most unexpected corners! With innovation as our compass, we're making waves far and wide by spreading warmth and wonder, pushing boundaries and leaving our mark on the world."
5,Prithvi,"Yaayyyy....

The usual suspect....

TheAtlantic....."
6,Walrus Bird,"From this piece, hard to read but one can’t help but feel awful about the state of things. I’m also quite ashamed of our NRIs here breathlessly taking in propaganda, plus the assumptions about being from Pak"
7,Srikanth Gonuguntla ,Best wishes to Mirza
8,Wakanda_1207,"I certainly don't eat parathas and I love my medu vada, idli , dosa."
9,Maan,It's worse than what you predicted a few weeks ago
10,SANJAY HEGDE,Sorry Doc Singhvi. We south Indians have heard this joke forever & there is no malice. I have even heard versions which had Sardars who opened a dhaba there after partition. Current campaign against #PrakashRaj variant of Manishankar called me chaiwala theme. Not buying it
11,Grouchy Maxx,"She is just as much a low-life as her master.
The most disgusting woman in that parliament."
12,Indo-Pacific News - Geo-Politics & Defense News,"Modi’s #US visit sends a big, if quiet, signal to #China

Though the White House downplays it, Prime Minister Narendra Modi’s swing through Washington is about enhancing a partnership that includes stopping Beijing’s aggressive expansion."
13,ccP wumao SLAYER 1,"There is a significant chance that yesterday's Modi's visit would be remembered in future as a very important point for India rising economy in a good way, as it was during Deng's visit 1979"
14,John Bulkeley,"Well, maybe. India is very suspicious about becoming allied with any nation, let alone the US. They've always coveted their non-aligned status, so something big must be convincing India they have to start picking a side. Who knows if they see something more than we're seeing."
15,melancholy,He made several references to Indo PAC security and threats (read )
16,Tina Selsmark,I  #Modi
17,Willsst,Wet dream.
18,Athought,"Feel sorry for US, people will know after 10 years."
19,eric,"Unless India agrees to let US occupies 300 military bases on their territory, there is no way that India can match China PLA."
20,batòr2013,"Don't be over excited, India is playing its own game."
21,dharmic aeroplate v2,he is also scheduled to visit france soon for more strategic talks and deals. around 14th july.
22,jjgolfbeast,"lol, who in the world takes india seriously? Its not even a civilized place"
23,Sari Arho Havrén,"The dedollarization drive is facing a confidence crisis as the yuan, ruble and Argentine peso simultaneously plummet."
24,Indo-Pacific News - Geo-Politics & Defense News,None
25,Matthew Brooker,"Quite the graph. China’s GDP is now declining as a percentage of US GDP. The future isn’t what it used to be 

https://bloomberg.com/news/features/2023-08-20/xi-jinping-is-running-china-s-economy-cold-on-purpose?utm_source=website&utm_medium=share&utm_campaign=twitter?sref=jR90f8Ni… via @business"
26,William Yang,"""A bipartisan group of Australian parliamentarians is preparing to visit #Taiwan next month, in another sign both major parties remain determined to resist #China's demand they cut off political contact with Taipei."""
27,The Select Committee on the CCP,"Chairman @RepGallagher to @TeamCavuto on the Chinese military drills in response to Taiwan VP @ChingteLai’s visit to North America: 

“This is an attempt to influence the Taiwanese election… 

[If Xi] can’t take Taiwan via political warfare, he may consider actual warfare.”"
28,Prashant Bhushan,"To get a US State visit Modi not only agreed to an exorbitant drone deal with a US company, but also agreed to subsidise 70% of the cost of a private US company setting up a chip assembling plant in Gujarat.
Micron will hold 100 percent ownership in a plant costing $2.75 billion, in which they would have invested would have invested only 0.825 billion!
https://countercurrents.org/2023/07/india-will-pay-70-of-cost-but-micron-will-own-100-of-the-plant-a-curious-business-model/…"
29,Navodit,Bad Deal
30,Nationalist Indian/Sanjay Singh,"Instead of Tweets any corrupt action can be brought to the notice of courts with facts, rather, when you try to paint Modi as corrupt it doesn't gets response from public: his honesty has been endorsed by Gujrat and Nation 5-6 times:"
31,Vishweshwar Raste,yes!
32,Ajay Bahl ,Idiot Alert !!!
33,VineetKhanna ,"Anybody can get a state visit for 2.8B$ ?  Specially when the host country gdp is nearly 24T$….
Quality of discourse and arguments from this man is getting bad to worse 
Guess that shows the quality of lawyers and their arguments…."
34,Zafar Mirzo,"Human, humanness, and what's next? Humanism or dehumanization?"
35,Indian.,Reality.
36,Rohan Choksi,"For once, just once, get your head out of the fogg of hate surrounding you and think for the country."
37,AAP Honululu।Mission 2024(Parody),सुबह सुबह आके ट्वीटर पे ही हगते हो हैं ना
38,Vivek Bhatt,तो एक रू कैश दे दो
39,Kanchan Yadav,आजादी के 75 साल बाद पहला सेमीकंडक्टर चिप प्लांट भारत में लगनें जा रहा है श्रीमान राहुल गांधी के बर्दाश्त से बाहर है क्योंकि 75 साल तक कांग्रेस की सरकारें सोती रहीं 
40,Prashant Bhushan,None
41,Jagrup Singh Parmar,"India’s semiconductor journey started with Punjab in 1974. The Department of Electronics (DoE) realised that India needed to develop capacity in semiconductor design and fabrication, initially with foreign help. After the Cabinet approved the idea of setting up the Semiconductor… Show more"
42,Nupur Reddy,"Prashant ji your day starts in the name of Modi ji & ends in the Modi ji

How much time you waste in remembering Modi ji, if you use this time to make CONG a good party then CONG would not lost 2014 & 2019 Lok Sabha elections"
43,Neeraj Singh Dogra ,"Please don’t stop him. 
Such people are the unpaid agents who inspire millions of people to keep Voting @narendramodi ji to power.
Modi ji’s biggest strength is his critics. His critics inspire his supporters."
44,BALBIR SINGH ,Akal ke dushman
45,aj,Surya uday 2014 ke baad hi hua hai; Ek andh bhakt ki sooch se....Soochalaya mein apna waqt zaya karten hain. It is good we are getting new investment in India- kya hua agar Modi promote Gujrat  for the luv of his birth place where the free  port is controlled by his dear friend.
46,Kumar Gaurav ,75 saal pehle yeh technology hi nahin thi. Sir.
47,Paytm Travel,"This Island is the perfect place to visit to get one with nature. Picturesque views, unmatched adventure and an exhilarating experience. Did you know you can also fly to Lakshadweep now? Explore flights to Agatti Island. 

#TravelPanti #TravelInspo #Lakshadweep #PaytmTravel… Show more"
48,Vimal Dubey,"Being a lawyer, people hope better than this. 
1. Semiconductors are the future and the tech is tightly governed by a few countries. If Bharat has to grow, it has to put something on the table.
2. There's no free investment! It's always you scratch my back and I'll scratch yours!"
49,Vin,Do you ever not get tired of lying and spreading misinformation?? How do you even live with yourself after constantly lying
50,Bhargav Ajay Desai,Dimaag hai ya  bhari Hui hai.
51,Vivek Lamba ,"Normal man visit other country by paying a ticket price. For Modi ji visit, the whole country pay for his ticket"
52,Gilbert D'Souza,Chorr chowkidaar
53,Rajarama Y K,Whatever you tweet blaming Modi Congress will never be able to rule India !! Congress is on the verge of collapse !!
54,M Nazim Uddin,It's Sangh's policy to keep others out of reach of power at any cost. Fascists desire control over country's resources at the cost of littering mass. Thousands of years of slavery nubbed spirit of resistance. It will take couple of decades if not century more to assert. Till then
55,"Srinivas Racharla ,the Nomadic",Desperate bigots trying their last resort
56,BhupenKharawala,"In Gujarati we have a saying that as long as it is not coming out of your own pockets , enjoy . We call it “kiske Baap ki Divali”.
Modi has all the worst qualities of a Gujarati."
57,u2can,what he did was great. you do nothing but bring the country down
58,Ramachandran,It is but natural a little bit of insanity to develop when one greys
59,Govindaraj Ramakrishnan,at this rate the country will go bankrupt sooner than later we the people who elected him are to blame save the country from the clutches of bjp so future generations are safe
60,Natarajan நடરાજन,"Earlier failed lawyer, now failed troll too!"
61,Capt Shailendra Nath,You are suffering from anti India phobia. Don't see anything good happening in India don't want India to do well. What a person.
62,Sarcy Shark ,"& the Earth is Flat and Sun is Just a Giant   which is controlled by secret Gvt agencies .  

Prashanth Bhooshan ki Manhor Kahiniya "
63,Prithvi Skills Academy,"Probably forgotten terrific thrashing of the journalist   intermittently it will be reminded to you 
as regards Modi ji, he is the second Swami Vivekananda of Bharat Mata Ji  
Just don't forget you JUNK "
64,Dr Khimji,Moorakh- u think Gujju Modi is so silly?? Doubt it. He would have gotten some dhokla’s for free with that drone deal and all the hightec gadgets thrown in.
65,Office of Shailesh Tewarie #HinduLivesMatter,"Yes we know communists wants to enjoy luxury by keeping larger population hand to mouth /Poor so they can rule ,earn ,Enjoy privilege on the cost of hate, violence, division in society,Where industrial and knowledge economy going to empower every hardworking citizens"
66,C V Narasimha Murthy,I totally support the Govt on this chip assembling plant. Why do we need Govt PSUs for this which have to fed with salaries in Central Govt Budget for several years to come.
67,VMM,"Very poor quality tweet it’s not at all relevant & being PB you should maintain little quality in your oppose. Going below dignity, do not die poor minds death…."
68,Durga Patchipulusu,"Your comments remind me of a saying in telugu. Snake has venom in its jaws, but the evil men would have venom in entire body."
69,Ashu S, this guy is just ridiculous!
70,Raji Rangaswamy,"Hahaha sour grapes, old man is at it, false propaganda!! "
71,Jaswant Singh Kumar,What a self created illusion?  Linking state visit of Indian PM with setting up of Hi Tech projects by defies logic   What about state visits of Our ExPMs Nehru Indira Gandhi  Manmohan Singh?    It is India which will benefit by such projects in Our country
72,Kanishik,Go and file a case in SC. U will get the slap from SC.
73,Dr Chandrashekara KV,"Nobody can beat you in crooked thinking!! Keep it up, good for you."
74,Sandeep Mukherjee,"And of course you are the expert in everything.  All you know is to rant with half information.  Suggest you be in your cabin and not air your opinions, otherwise maybe someone will come then to shake you up again."
75,Tembhurnikar Mahesh,"ha ha !
did someone ask for your (unsolicited) comments in this matter ?
just chill, don't be a KHAM KHA"
76,shyam agrawal,@MoHFW_INDIA kindly send this specimen to asylum for quality treatment…! Needs it very urgently..
77,Hemant Nadkarni,"Limit of shamelessness! How long you have beef misleading people and how many more years you want to do the same? Don’t you have conscience?
"
78,Yash Paul Sayal,In your dreams Modi haunts you and you always try to find fault with the greatest man of India
79,Mrityunjay Kumar,From where you get these data? You are one of the biggest lairs in the country.
80,SS,"Prashant..time n again you bcm the kin of Guhyam story teller..

Say Rama Rama.....you get a good send off.

Poor chap...not so bhushan for himself."
81,Manohar Mann,"Bhaisahib, bas bhi karo. We are fed up with your daily dose of sarcasm. Kejriwal saw you through early enough. And he did the right thing....sent you packing out of AAP."
82,Deepak Bhat,You are the most irrelevant person in the earth now
83,Prasad Narasiman,Ridiculous. Whom are you fooling
84,"Dr. B.S. (Yup, those are my initials)","If you think the US's interest is in getting subsidized chip manufacturing outside of the US and in a region closest to China with the current relationship the US Govt. shares with India and China, there is no value in you attempting to understand geopolitics."
85,Sushil MohantyM.Sc.LLB.,CRITICISM HAS LESS EFFECT OR NO EFFECT ON A DANGEROUS CRIMINAL FROM A POINT OF NO RETURN UNLESS YOU FINISH HIM  UNDER SYSTEM OF LAWS   OR MAKING  NEW LAWS  TO CRUSH HIS WORST  DESIGN GETTING PEOPLE SUPPORT TO FORM NEW SYSTEM OF GOVERNANCE.BUT YOU ARE NOT DOING IT OR  INCAPABLE.
86,Col Mohan Sharma,"Dear sir,
Your propaganda against your own govt and country will haunt you, and the future generations of yours. They only will disown you at some point in time. People no longer get fooled by your discourses now. Why don’t you take the govt to SC, in that case?"
87,Sudershan.a.l,"Sounds a Gujrati is the most selfish human on earth, of course exceptions r always there, what a race to be born,  a boon or a curse Lord only knows. AMEN !!  al sudershan"
88,RAJESH SINGH,Your heart and ‘what not’ burns if Modi does something. Why dont you ask yr friend Soros to invest in a Congress ruled state. It is because of people like u that India has not developed in the last 70 yrs of congress rule. Kejri was right when he used his foot for Ga....pe..
89,RAJA NITHYANANTHAM,SO  U DONT  WANT A GOOD DEFENCE FOR INDIA  HELLO  ARE U A BUSSINESS MAN THEN TALK
90,SAMEER,"No commission to you ,your owner Pappu & XJP.

"
91,Pawan Khera ,Read this to know the truth of the Micron deal inked in the recent US visit of PM Modi.
92,Vimal,Thank you for sharing this Pawan Sir 
93,Nirmalyo Banerjee,Only Thankyou 
94,Pradeep Sinha ,What happened ? You are complaining that there was no middleman or kickback ?
95,ravi somarapu,Thume gaali galooch chod ke ee sab suit Naha kartha hai yaar. Thumari samaj ke bahar wali baathe kyu karthe ho?
96,SK,My hunch...RG's today's press conference will be on this issue..
97,IndiaHealthWise,"No matter which one of their products the tobacco companies are advertising, they are subtly pushing their tobacco products into the psyche of the consumers. Let us fight back, create awareness and save our children from tobacco and related diseases.

#TobaccoKills… Show more"
98,Hari Parmeshwar,The question that you must be asking is how come we are not even manufacturing and assembling. Design and fabrication is further on the curve. Then you know we need FDI. The dollars I mean. Surely you should know that! Come on! We went bankrupt once remember.
99,jayaraman subri,None
100,jayaraman subri,"PAPPU fir se Disqualified ho gaya 
."
101,Saket Gokhale,"SHOCKING!
Modi Govt used ₹1751 crores of public money to enrich an American company for Modi's PR:

During his US visit, Modi signed a deal with the firm Micron for establishing a facility in Gujarat

The deal is worth $2.7 bn i.e. ₹2274 crores

But here's the catch 

(1/6)"
102,Saket Gokhale," The Micron deal is merely for assembling & testing semiconductor chips

 Assembling requires ZERO technological knowledge or transfer. It contributes NOTHING to India's semiconductor vision

 Micron benefits from cheap Indian labor & reduces its China exposure

(2/6)"
103,Saket Gokhale,"But Modi Govt has shockingly subsidized & enriched Micron from public money:

 Of the ₹2274 crore deal, govt will contribute 70% i.e. ₹1571 crores

 Micron will contribute 30% i.e. ONLY ₹682 crores

And yet, Micron will OWN 100% of the plant with ZERO govt stake

(3/6)"
104,Saket Gokhale,"Therefore,

 Micron gets to reduce its chip assembly costs & its business risk from China. This allows Micron to make extra millions in profit

 India gets to ONLY assemble the chips i.e. no technology transfer & no specialized knowledge

Who benefits: ONLY Micron

(4/6)"
105,Saket Gokhale," Despite investing 70% i.e. ₹1571 crores of public money, India will get ZERO stake in the Micron plant

 Micron gets 100% of an Indian plant worth ₹2274 crore ONLY by paying ₹682 crore

Why is the Indian exchequer losing ₹1571 crores to favor a private US company?

(5/6)"
106,Saket Gokhale,"Contrary to claims by Min @AshwiniVaishnaw, this plant does NOT benefit India's knowledge of semiconductor design or manufacturing.

It only outsources assembling of chips with no technological/design know-how.

Modi Govt WASTED ₹1571 crores purely for Modi's foreign PR

(6/6)"
107,Saket Gokhale,"For more details, check out this insightful article by Prabir Purkayastha of @newsclickin in @asiatimesonline:"
108,Saket Gokhale,None
109,Saket Gokhale,"Correction in calculation (that makes this deal even worse):

 Deal is $2.7 bn i.e. ₹22,740 cr

 Modi Govt is funding ₹17,510 cr using public money for ZERO stake in the plant

 Micron is paying ONLY ₹6820 cr & getting 100% ownership

Loss to taxpayers: ₹22,740 crores"
110,VagaBong,"I don't mind the nature of the factory - if it's low-knowledge high-labour, so be it. We have abundance of labour. What bothers me about the deal is the skewed equity to ownership ratio. There's something seriously wrong there and needs a deep dive."
111,kamal kumar ,2.7 bn usd = 2271 crores  ??? 5th digit is missing
112,Laxman Sivaramakrishnan,I hope you have been admitted to a good hospital and recovering well
113,Jaishankar Bala,"Yes it is indeed a great deal for Micon, with GOI and Gujarat Government putting in much much more than Micon.

And yes, it is the lowest bucket on the technology side .

But in another sense, this is the area that is manpower oriented. And sort of fits in well for Assembly… Show more"
114,Ashok Shekhawat ,"This looks like the public money has been misused for the loss of the country.
This is not a good deal for the country."
115,रवि मिश्रा ,"From which angle?
What do you know about semi conducters?"
116,Sab Changa Si (सरफरोशी की तमन्ना अब दिल में है),This only proves one thing that even if you have the money tech cannot be bought off the shelf. It is closely guarded & controlled by big corps & Govts. The Micron deal is heavily subsidised by GOI for low end tech raising eyebrows internationally. It may be a catch 22 for us
117,Arin S,"Don’t think there would be anyone sane enough to invite or take the risk to take your “advise”. For a party which is notorious for ensuring the people of West Bengal are left with no business wiling to set up their shop, it’s funny how you preach the world about “business” !… Show more"
118,Belson Koshy,"17 or 15.. Anyhoo if the government invests and has no equity of sorts, then that can mean only one thing..
Cashing out.. In preparation of next year maybe.."
119,Vishal S Jain,Bhai zara check kar le $ 1 billion dollar kitne Rupee hote hai.
120,Syafiq Firdaus ,@rattibha
121,Rattibha رتبها,"@syafiqfirdaus06 Bonjour, The series of tweets have been unrolled.  https://en.rattibha.com/thread/1677147490259447808… Good read? Share "
122,David,"Well researched Sir.

But our AAndbhakt do not understand this."
123,Puspen Mandi,Unroll @threadreaderapp
124,Thread Reader App,"@MasterNorb Bonjour, the unroll you asked for: https://threadreaderapp.com/thread/1677147490259447808.html… Talk to you soon. "
125,Primordial Methanogen,All investments going to Gujarat. Hmmm.
126,Captain Kirk,"with this kind of though, hardly any industry will ever come to WB."
127,BtKAS,Please go through this thread.  Chip making.  #Chipmaking @DarthThunderous
128,Navjot Singh  ,har scam pe jai shri ram n bharat mata ki jai likhna mandatory hai. Nai likhne pe SCAM mana jaayega
129,Nonte,Bhai woh 1571 kahin toh jaa raha hain kaam me. Congress aur TMC wale toh isko apna tijori me daal lete
130,Floydusnthem,Nahi re pagle..shocking was what u did with the pubic money u accumulated...
131,Sukhdev Sidhu,"DOJ  should investigate if there were any bribes were paid . 
The Foreign Corrupt Practices Act (FCPA) of 1977 prohibits the payment of bribes to foreign officials to assist in obtaining or retaining business."
132,Aviraj Singh (Blue Tick),What about the jobs that it will create?
133,Politricks,Modi thats why made bhakts
134,Prashant Joshi,It's time for a change of govt
135,Spartan Troy,Tu fir aa gaya g00  khake
136,Amjad Maruf,@MumbaichaDon bolti bandh hai kya teri
137,Free-Spirit,"it is over 22,000 crores, there is typo , please correct"
138,75 Years,@SaketGokhale shocking
139,Pawan Shetty,$2.7 billion u need to learn to covert to Rs.
140,Prat G,Aa gaya TW pe bakne..
141,Rajamani T K,Lier
142,Pradeep,Tumhe kounsa madarasa mein padaya ki $2.7 bn==Rs. 2274 crores??
143,shashank singh,"Being critical of Modi is one thing, but some people go beyond limits without realizing the consequences. Watch this clip https://youtu.be/GMvQ4igmo1Q and see if you can spot any non-technical aspects in chip assembly and testing. (1/2)"
144,Chinmay,"For intellectual level of yours, even scrap collection is a high tech business. Aukat me raho bhai "
145,Ramesh Srivastava,You yourself has mentioned that Micron is coming to take advantage of cheaper labor and reducing exposure to China. This itself explains motive of project. Employment and hurting China. You are working not for India interest but someone's else.
146,GOpalaa,"first u shutdown tata project now running behind micron? foe god sake leave it. if they r generating jobs any how u dont take it, but leave it for someone else."
147,Vedant Kabra ,"I think you’ve missed the long term impact of this investment in lieu of explaining short term expenditure. 

Validates India’s image as a viable investment destination, will ensure tech transfer to India of some kind which will eventually spur innovation in semi-conductors."
148,Akash,"Most of it true by not all 
Semiconductor testing and assembling is not just cheap labour thing
Think of it to extract  dozen of chip made in wafer which itself in nm size ( need extra precaution ) 
And then put that chip need to be properly fit in machine to test it"
149,AntiHypocrisy ► 30 Second Followback ◄,"Chips are not assembled they are fabricated on a board , it is process manufacturing not discreet. Process manufacturing cannot progress without tech transfer . China has been stealimg and exploiting this loop hole for years."
150,BashaBhai,"Just check out who is the promoter or share holder of micron ,we may get clear pictures"
151,sripath PhD,Be prepared for more shocks of similar nature. India will forge ahead with speed and vigour before you understand a bit of technology and business acumen of Modi.
152,Pardeep Arora,"Your math is broke , it's 222 billion rupees in Indian currency , then assembly and testing is very very high level cutting edge technology , you leave this field for the people who know , don't waste public's time"
153,M A Samad | عبد الصمد | అబ్దుల్ సమాద్,"Micron must have assured #Modi’s photo would be displayed on the #semiconductor like on 5-kilo Ration bags.

#ModiDisasterForIndia"
154,OnlyTruthwins,"He knows , his getting close to his demise..dont let him run away like other Modis.."
155,Sir,"Let me guess , owner or CEO  of micron is a bhakt, just checked on Google, guessed correctly"
156,Kya bolu abb,Ppl like u and chidambaram dont have long term startegic vision.. these congressis are same ppl who made fun of UPI ..
157,Dhundi,Not even one blind bhakt or godi media speaks ...
158,Hironmoy Mukherjee,Put some of your expertise into finding the scam your party is involved in
159,Bharat Nation always first,"@HMOIndia 

Virus detected please check him"
160,Ashmit,Kaash tune economics namak ek subject padha hota toh aaj aise post nahi krta.
161,Svasatta,People wanting more govt jobs is also a loss to exchequer coz it's not a business that makes money. This is more about tapping a niche in India and paving way for more advanced stuff.
162,SYED ABDUL RAHEEM,deal is 2.27 billions dollar and  from when 2.27 billions dollars become 2200 Cr. subah subah Kutch Bhee.
163,Calm Ninza,Abey chor... gaban Baz... gaban ke arop me jail kaat ke aiya ha re tu... aur gyan de raha ha corruption and embezzlement pe..
164,Teleprompter,भक्त लोग आ रहे होंगे अपने पापा को बचाने।
165,Mohana Krishnan,PAID PRO???
166,Avik Chattopadhyay,"""Assembly Kaal"""
167,Raw socket,Can you do the math again?
168,Deepak,@FinMinIndia @MIB_India @PMOIndia @nsitharaman wastage of people's Hard earned tax money
169,Dead Pool,None
170,Jaspreet.lens,Oh no
171,ishrath fathima,Why always Gujarat? Shouldn't other states prosper?
172,Ab Tandav Hoga (ATH),Gujarat police at your door baby
173,Realbakth,Toolkit activated?  TMC Trouble Marketing Company?
174,PM,"If only all these workers could have been employed under the high-tech, rich-dividend MNREGA scheme of Con-grass "
175,nottodolist,Count the number of friends you can count on!
176,Mohammad Ziaullah,Well the Govt has to pay for Modi's US trip.
177,Martian,"All else seems ok but $2.7 Billion = ₹22,740 crore. The scam is 10 times all the figures you’ve quoted!!"
178,CaptainBrown,2.7 billion usd is how much ?
179,Adwait ,Tereko koi uss plant mein bhi naukri nahi dega isliye itni jal rahi hai.
180,Manoj kolya,$1 billion equal to 8k crores inr
181,Parul,Nothing about the honourable PM surprises or shocks anymore. His own people don’t matter to him. He is quite brazen that way.
182,Funsukh Wangdu,When was last Semiconductor chip investment came in India de.
183,Jyotiranjan,Who gave you gyan on Assembly Test Unit. Do you know what it is.
184,DigitalBajirao,Unhappy because Pappu did not get a cut...
185,Dr. A. K. Singh,Deal at least makes availability of semiconductor in India easier.
186,Black Mask,@nano_arun thoughts?
187,The Lie Mama (Chauthi Paas),"This will all be taken care of once the regime changes in the center. And yes, with interest. Not too far!"
188,BankerNair,Trinamool Scamgress! Wow! Amazing insights! Care to substantiate these claims? Or is it just Faf like you Boss does???
189,Babu Techi Tara,"Bro,1bn usd=8200 CR and 2.7bn would be around 17000 CR. Stop misleading public."
190,Rajiv Shah,What is the nature of this 70% subsidy? Are they being provided land at subsidized cost or tax benefit? What is it? Pls elaborate.
191,Mam,Such a shame you are for West Bengal who don't know how many zeros a billion has 
192,Rahul Jain,Abe gadhe 2.7 billion dollar is approx 22000 cr rupee...school jao please Madarsaa nahi Gokhale sahab
193,Rustom M Cursetji,"For the BJP all transactions are a PR exercise that pulls  the wool over the eyes of the public. Even that is not necessary because the public is blind anyway.
Few people are able to recognise the difference between transfer of core technology and exploitation of cheap labour."
194,Shaad,भाई साहब अंध भक्त हिंदी में समझ नही आता वो english में कैसे समझेंगे please explain in hindi for Andhbakht
195,rajaonlinelive(Raja ),"New India,where we focus on special growths(!?)"
196,Tushaarr,Yeh Masterstroke hain. Aaje jakar bhi samjega nai but hain.
197,Pratap,"Gokhale Ji again you are here with fact twisting tweet . The money that you are talking about is not an investment but subsidy .
Central Govt , which charges excise and other duties on import of machines are exempted in this case. Similarly state Govt has given subsidy . Plz"
198,Carumkurum,"Wrong conversion. USD 2.7 bn is INR 22,340 cr"
199,Raj karega Rajputana,Bhai theek hai na...shock jyada to nahi laga na
200,Ankit.,U lost me when u said $2.7 bn is ₹2274 crores. 
201,Suganth Samuel,Pl check the bn$ to INR conversion
202,Shikhar Kumar Gupta,"India today has 16% share in mobile phone manufacturing and all this started from just establishing assembly line.

Samsung started assembly of phones in India but now they have set world's largest mobile factory in Noida as well as manufacturing display unit in India."
203,VK,INR 2274 Crores 
204,Anish Mathew,2.7 billion usd equals 22000 + crores
205,Whitney Grenaway,Can we crack the code to achieve 5 million impressions solely through organic efforts? Let's hear your unique approaches and creative ideas! The power of community knowledge is limitless.
206,Atishay Jain,"@SaketGokhale 

Sir you have quoted wrong numbers, missed one zero. $2.7 Billion = INR 22,740 crore 

You also forgot to quote similar figures from European countries. They have taken similar action. Kindly enlighthen as well why all other countries are taking similar move"
