,user_handle,tweet
427,Darth Gluteus,"In any deal, your standing matters. Ability to negotiate is based on standing. India is positioning itself as an alternative.We have no standing except cash and promise of stability. People who are making the deal have best interest of India at heart.They are doing their best 1/2"
428,Darth Gluteus,"2/2 Modi’s team is seasoned and dedicated. He does business like a Gujju. The results are there to see in many sectors. By contrast, Congressis are only good for self doubt, negativism, groveling to the west and being West’s cheerleaders. At least Modi is doing something…"
429,Akhil,अबे चल फर्जी कांग्रेसी
430,𝕤āոꚍ𝘰𝚂ȟ कामत,@elonmusk hope you got a better deal than this?
431,Ashish Kumar,It will provide jobs to people... Nikammme journalists won't be employed of course
432,shaun dias,"In real this makes no sense for indian 
When modi says make in India made by indian why is micron coming in the pica firstly 
The lion in make in India was made hy Japanese what can u expect 
Whatever modi is saying that's all stories. Just like North Korea chief 
People shld thn"
433,Modi 2.0 Kalyanam,None
434,Prashant Bhushan,"The Modi govt has refused travel visas to members of the US Commission on international religious freedom, to visit India & see the state of religious freedom in India.
Modi said any question of suppression of religious freedom in India is ridiculous & tolerance is in our DNA"
435,Ajay kumar,"Who is USA to lecture Indians.
Firstly see your own country.
Lier."
436,Sanjay Kumar PMP® PMI ACP®,"What's your challenge. Its our nation , its first. Rest is secondary. You are a human being and not a bug. Please behave."
437,JH,UPDATE... this is a 2016 issue.. SC Lawyer spreading fake news! @GoI_MeitY
438,JH,Bcos churches are responsible for current condition!
439,Niranjan JHA,मोदी सरकार ने वीजा अमेरिकन धर्म प्रचारक को नही दिया और फट रही है तुम जैसे बदनचूस की क्यों ?
440,Mohit Sharma,"Dalal spotted!
Prashant Bhushan i want to come to your house and check if everything is fine sexually between your wife and you, if your son is able to satisfy his wife or not?
Would you let me stay inside the room sir 
Sir, we don't need clearance from anyone to prove our… Show more"
441,Manish ,"ट्विट ऐसा करो कि लोग पूछे 

भाई तू इंडियन है कि पाकिस्तानी ??"
442,The Hawk Eye,"7-year-old video clip! In this interview, this dude said India denied visa third time. No place for evangelists' propaganda. Or else India would send a committee to USA to look into race discrimination, gun violence, and hunter biden laptop. None of them are good for democracy."
443,Naveen,Everyone knows how this US Commission on International Religious Freedom works. Are all commissions only for India? Top class hypocrisy.
444,Anil KB ,"Take your BP tablet on time & also tablets for constipation, else need for posting old videos comes more frequently"
445,Ashok Bijalwan अशोक बिजल्वाण ,"Fake news.
This video is from 2016.
Please take it down."
446,Alok gupta,"Check out what’s happening in Tunisia, Poland, Hungry, Britain, Sweden and France - you will love modi ji"
447, Alok,"Such type of commission not required in India any more.

We have seen their work during British India..."
448,Navodit,Freedom
449,Nadim Ahmed,agar aayenge to puri tarah se haqeeqat saamne aa jayega aur Modi ji ka India ka poll khul jayega.
450,Chaitanya Nagar,"In China there are Buddhists (or there used to be once), and Muslims too. Has this organisation tried contacting the Chinese authorities and enquire into the question of religious freedom there? Why some US organisations with a ‘holier than thou’ attitude  want to behave like a… Show more"
451,Vic Puli ,
452,Dr.Navhya,None
453,,None
454,Besesayo Kezo,"‘Hypocrisy is homage paid by vice to virtue.’ 
India is a secular and republic nation.
There’s nothing to hide from anyone.
‘The world is one family.’
Our DNA is composed of all the ingredients that made natural man.
Our instincts and behaviour are natural too. 
May God bless our… Show more"
455,Sunil Mehta,"Why aren't the visas issued to this team of three people?
The reasons could be two-fold.
1.  You are trying to hide the ground reality here, which is in contravention to your statement in USA recently.
2.  You are afraid of mass conversation to Christianity by a visit of three… Show more"
456,Gopal Goswami,We are shortly sending a delegation to examin the freedom of trrrorism the Jihadis & Kahlistanis enjoying USA against India.
457,Bill Meyer,"Step out of your comfort zone today!
Follow me for power encouragement!"
458,Nirmalyo Banerjee,US commission for religious freedom in India ? What do they have to do here. Good that they have rejected the visa. Let them go to china.
459,Gilbert D'Souza,"You can find yogis, sadhus, swamis, gurus and dongi babas in every flight  to the USA  Europe"
460,VINAY,Why some people in India are playing into the hands of foreign agencies to defame India and it's people.
461,𝘙𝘢𝘯𝘢 𝘗𝘳𝘢𝘵𝘢𝘱,"He is absolutely right . 

You jokers can try your best in implementing your anti India toolkit ...."
462,smallgenius21,Who the F is US to send an agency? We ain’t a vassal state -
463,Parma Nand ,"Mr.Bhushan file a writ petition before the supreme court, invoke planery powers, if it is not maintainable though chances are less,please file a petition before the International Court of Justice.
make a prayer, we brown,dirty Indians do not know how to rule ourselves,"
464,sharmila kopanathi,"GOI can further state that it is the minority M & C organizations that are parasitic, land looting, becoming biggest owners of land in India, preventing Hindu ownership of their temples, constant assault on Hindu assets & culture through forced conversions, mayhem and dupery."
465,blore_boy,"Why is someone in US considered to be police of the world?
When will certain ppl let go of their white skin slave mentality?
Let then care for their own problems such as police atrocities on blacks etc..."
466,Prafulla Kumar Nayak,Falsehood is in DNA of Modi. Why you fear if your conscience is clear.
467,जीनेष शाह,"Is this commission the owner of India?What is this commissions contribution in India's Development?
We don't want outsiders survey in India.
Try this in Afghanistan
Country which left Ammunitions worth millions in Afghanistan2go in the hands of Terrorists want2do survey in India."
468,Bharat Vijay,Time to send @TajinderBagga  to your office once again to repeat the 7 year old treatment given to open up your gobbar brajn
469,Shakti999,"Great decision by Modi govt. High time to keep break Indua forces out of country.  Also, the ones inside need to be dealt with strict punishment"
470,GKP,Seems you choke day and night with the name Modi.
471,सनातनी,We damn give shiiit to you and your commission
472,KSM KUMAR,"why dont these international xtian conversion religious freedom gang first bring back those christians who are not even going to church and leaving the xtianity in US, Europe? What this organisation did when lakhs of xtians have been killed in Iraq, Syria etc.?"
473,Nationalist,"Very good decision. We Hindustanis don't want our enemies come here,  creat disturbance with help of urban naxlites, lueytens sold out journalist, anti nationals"
474,भारत मां की बेटी ,"Sharing old videos just like ur old age.
Sold ur soul???"
475,Ardeshir Desai,A great loss to you and your LeLi cabal 
476,Indian.,"Lawmakers in  France have approved a bill that will allow police to secretly access the cameras, microphones and location of suspects via their mobile phones.

Nothing is safe.      Barath soil Democracy is alive in BJP rule with Honest & Transparent !!!"
477,navin sethia,U must go to Pakistan to see the situation of religious freedom as forceful conversion of christian is rampant
478,NarendraKumar Jain,Well done Modi. Such sponsored  and self proclaimed rating agencies had enough fun during the Indian government headed by weak PMs and slaves of a family. Now it's time to put them in their place. People are free to move to any of the  57 Islamic states safer than india.
479,Fine Gentleman,"Why deny visas if New India has nothing to hide? Also @ThomasReeseSJ is wrong one account. There's no conflict between Hindus and Muslims since 2014, instead minorities are being lynched by section of majority for superfluous reasons by vigilantes who has govt backing."
480,mahesh brijnandan,It's clearly admission by Modi govt that no religious freedom in India and violence against minorities specially Muslim community are being done in present regime
481,Nandita Pandey,"Yeah special invitation by the Mahagathbandhan to create ruckus in the country and then project it on world platform, coz for 10 years nothing wrong happened now they have started train accidents, discrimination story n what not. No one can stop Modi ji from coming to power again"
482,abhijit bhattacharya,Modi is a disgrace to our great civilization and there cannot be any second opinion about it. But that should not blind us towards many human rights organizations based in the US who are working in many countries to accomplish regime change
483,Deepika Govind,How about your team reviewing human rights violations in America against Indians by white rascists and terrorists Khalistanis???
484,Romesh Gupta,WHY OUTSIDERS COME IN INDIA & DO ILLEGAL SURVEY & CREATE HAVOC IN COUNTRY .
485,Vinod Chavan,"Glad they rejected it. Plebiscite bolne par jo haal tha, woh bhi Kya din the.  @CBNNews  the father who was speaking is utter lies. They come to India in the garb of religious freedom and run a rampant mass conversions racket and distribute free money. This needs to stop."
486,Sanjeev Prakash,Which country allows such visas to let others indulge in internal affairs? We expect a better argument and logical question from educated people like you!
487,TheProfessor,"US commission on International religious freedom members intentions are absolutely clear. A visit of few days and they would publish a report which is already prepared, to defame India by presenting distorted and half baked reports to the world. Good step by govt."
488,H Chandrasekhar,"Who has appointed the US to issue certificates to other countries? Do they ever visit Saudi Arabia, Pakistan or Bangladesh? 
And lelis like you, who feel they have the right are devoid of self respect."
489,lyn64,Father of autocracy has no cheeks to defend himself for what he lied in the US. He has to show his true colour to his blind devotees to keep going luxurious life under the banner of religion!
490,MASUD HASAN,"Why visit to India , every thing , all violence are available in media .they can see ."
491,rav42,"Who the  hell r they to supervise  india ,this is not iraq for them to play around with"
492,Grigori Rasputin,"Actually great decision by the Government.. 
India should not have any religious freedom.. this is exclusively the only surviving Pagan civilization, and will remain the same.. 
Now shove that freedom of religion bla bla bla  in your right place.."
493,Bhushan Karnik,"Modi & his ""Brasht Janata Party- BJP operate there hypocritical government's at center and state"
494,Suresh Bhaiya,"Pee boo shun.,. You are stinking"
495,Kushh,You are no one to question Authority... Clam down
496,Indian,"You will know,if you are a sensible person, that those guys have agenda.   Certain people playing victim card and claim no freedom."
497,ary,"Send them to Afghanistan, Bangladesh and Pakistan first. Propagandist organisation "
498,Vishwesh Kamat,This is the power of new India. They can say fusk off without hesitation.
499,Guddu BamBaaz,"7 year old video, Alzheimer's has now properly set in. 
Poor guy."
500,Nishat Khan,"My Q & beg pardon for ignorance 

What are envoys to a nation doing?

Do they leave their conscience in their home countries 

Quite sure that a cursory awareness of what is in public domain may impress upon @USAmbIndia that something not quite right 

@USCIRF needn’t visit"
501,"Syed Mehar Imam MIE,CEng,MIEEE,LEED AP",It would amount to a death knell for PM Modi vis-a-vis electoral democracy in India. What is happening in Maharastra is a cautionary tales to learn lesson what is store for 2024!
502,Ram Mohan P,Aliens are not entertained here.
503,Gudugudupaaandi#FreeTNTemples,Poor guy - Still didn’t come out of Pre-1947. Problem is education doesn’t teach wisdom.
504,TK,"Dear Supreme Court Lawyer, you don't have faith in yourself or the Supreme Court or High Courts in this country, and want to invite a biased foreigners to inspect our country ?  Let them set their own house in order... there are many George Floyds still shouting 'I can't breathe'"
505,Kumar (Anti-Idiots),Lol...another bumms of hypocrites wants to invade India
506,Indian Citizen,"Religious panel should have visited India to stop division of India & retain secular structure.Present always bear scar of past.
Confidence is key of secularism 
Education is first step to mould the mind of children. Convent educated dominate the society & influence fundamentals."
507,ੴ ਸਤਿਨਾਮ ਵਾਹਿਗੁਰੂ,"1- This video is old. 
Why don't they go to China? Where HR violation is most. Who are they to question India? They need to fix themselves & their countries first! which traitor party Invited them? Jootian to  parengi hi in videshi k- tton s--yaron ke & sath mein gaddaron ke bhi!"
508,ੴ ਸਤਿਨਾਮ ਵਾਹਿਗੁਰੂ,Cowardice & inviting foreigners to interfere invade is not tolerance its Treason. Indian will NOT tolerate any foreign intergerence dictation now! Will teach lesson to traitors
509,ख़ास आम आदमी,"You r learning about this ... After 7 years!
Either you were dead for 7 years or you are playing crook."
510,काफिर हूं यारो ,No wonder you were slapped
511,Dwaraka Nath Acharya,"You as a citizen of India must know how much religious freedom given to minorities at the cost of majority . Minorities  have more freedom to speak than in any other nation except terrorists and seditionist activists. Why these guys are not going to Muslim  nations Pak,Bangla etc"
512,shatabhisha,Prashant ji. You are over funded. You are aged. Now get off this global destabilizers. Time to reflect
513,Ananth,True slaves!!
514,jayarajan pillai,"Bhushan is trying to use old info to defame the country, he is such a patriot."
515,runa dang,Denying  visa to US Comission creates more suspicion in their minds against our govt.
516,armaniking,"These churches and fathers are well documented to have abused children, don’t let them come to India!"
517,Anu Dutta,"These NGO clowns has no business in India, rather they should poke their nose in the handful issues in USA about gun violence, oppression of minorities, racism etc. What else can be expected from a commie and a break India gang like you  #ModiHaiTohMumkinHai"
518,Ashok Kumar Nationalist,One simple rule to be Indian. Don’t support any cause which is supported by this Crook!
519,Jay Ho...(Suryakant),You will awarded for your propoganda against Nation
520,@sanjeevvishen,@narendramodi @AmitShah will create more such situation where you can  further. 
521,FascistToTheLeLi,Buddhe have you got hysterisis
522,RBN,You need Bagga treatment once again to see that this is 7 years old video
523,Ved Nayak,"Pah! All knew what he said was jumla. It was a prepared answer, and he just read it out, a myth.
If he were to really mean it, last 9 yrs would've seen quite harmonious co-existence, zero lynchings, no dog-whistling of this or that j!had.
This refusal is the reality, the truth."
524,LP,"What else to expect other than FakeNews from Mr Prashant Bhushan Jay Chand, traitor of India!"
525,Harsimran,"These r private bodies
Turn to target india 
Better they don’t poke their noses here"
526,Vasudeva Padmanabhan,Hypocratic mind!
527,Chillout,What a pity. Try pakistan and check for yourself the religious freedom enjoyed by minorities there. Yield will be good.
528,Nupur Reddy,"Anyone tells these Americans that Hindu majority India has second largest Muslim population in world & that country has largest Mo$que in the world.

So there is no need for these Americans to come to India & see how India treats its minorities."
529,शांतिदूत (भूपेन्द्र)(आरक्षण गरीब को),"Let me clear.

Every year lot of foreigners come to India on tourism and most of them are missionaries.

Just for checking whether things are good in india or not and then report back to their pop.

Based on that report fund used to issue for local Christian missionaries to… Show more"
530,ANI,"#WATCH | Delhi: External Affairs Minister Dr S Jaishankar says, ""If you see the recent US visit of PM Modi, you saw that there were many prime ministers have visited the US but this visit of PM Modi was different. It was because PM Modi has a different image. He is a senior, experienced and credible leader. When PM Modi tries something or takes a position, its effect is seen in global politics. In the last 9 years, we have seen big changes in the world initiated by India"""
531,Aabid Mir Magami عابد میر ماگامی (Athlete),Yes right because of Gujarat Riots.
532,भाई साहब,Ask Barak Obama how different modi is.. and if your government is against him than speak about him
533,Thang Kuki,PM Narendra Modi must visit my state Manipur and stop the war. If he can ask Ukrain and Russia to stop the war for few days while Indian Citizen are being evacuated. Why he did say a single words about Manipur?
534,Nadeem Ram Ali ,"इस वक़्त तीसरी जंग होने वाली हैं, दुनिया दो भागों में बंट रहीं हैं, चीन रूस का गुट, अमेरिका का गुट ।

अमेरिका को भारत की जरूरत हैं चीन के विरुद्ध ।

इसलिए इस बार का दौरा अलग था ।"
535,Bhargav Mitra,Aptly stated.
536,Dr Nilima Srivastava,"So true  @DrSJaishankar 
Especially  in the middle east.

They will be the new Europe"
537,AJITABH  | অজিতাভ ,"Well said, also the US is expecting him to be around for a while."
538,Kaffir Yadav  ,None
539,Jasmine Fernando,There is no better image for Modi ! USA wants to sell arms and weapons to india ! They know pleasing Modi will lead to a huge deal and extra price just like Rafael deal!
0,ANI,None
10,satya sinha,Lousy bloody tweets
11,Paramatmanirbhar,Mr EAM @DrSJaishankar the US in 1970s wooed China to counter Soviet Union & to the detriment of India. Now US has no option but come seeking India as China has become a Frankestein for US. US & China are the greatest self-servers & biz with them means verify but be wary of trust.
12,Avinash D Dharangaon,Padai likhai ke baad bhi gadha gadha hi rahta hai yeh jaishankar ko dekh kar pata lag gaya
13,Judish Raj,"What Modi is doing now, External Affairs ministers used to do earlier. What Modi was doing in railway platforms earlier, the External Affairs minister is doing now in international meetings."
14,kshantaram,Ukraine war could not be avoided
15,Sunil Mittal,"What nonsense is this..???
@DrSJaishankar"
16,Vijjirosa,'big changes in d world initiated by india'. 
17,Ordinary Indian % Follow Back,Despite all adversity and propaganda Modi has ultimately emerged as a statesman with intellect &  credibility at Global Level
15,Amjad Maruf,Yes. For e.g Manipur.
16,CommonMan,He’s talking about image and not facts. How funny for an EAM.
17,m. jeyachandran,Totally different.  Teleprompter was installed in White House first time. Modi has answered only one question in the first press conference during his nine years tenure. Investigating in a girl child is very important.
18,Enkay,"Why so much buttering? Was he born yesterday? Has he not seen how Nehruji, Indiraji, Rahulji & Manmohan Singhji were received in USA & other countries?

Btw, this Viswa guru’s graph is going down day by day. He is only popular with ED , CBI, etc."
19,TheSlimyOrangeMAGAtt,Modi was denied visa. Reason still valid.
20,Thinker,"It was a different visit in terms of embarrassment and a bitter after taste once he returned.

Embarrassment because of the funny things he said.

Bitter after-taste because his ministers trolled Obama and the journalist who asked him a genuine question."
18,India  First,Koi alag star nahi tha...visits by Nehru ji Rajeev ji and Manmohan ji were more decorated and fruitful...
19,India  First,Stop lying @DrSJaishankar
20,True or False,Teleprompter is a huge difference
21,MK,"The shining moment of the visit is the respect and honour bestowed on the female journalist by our most cultured and civilized society who asked one question to our honourable P.M. 
Unparalleled respect to the 4th pillar of democracy. Goosebumps, tears of joy on our society."
22,Kumar Satyendra,"Yes...Yes , he has 3-d image."
23,ஜோசுவா பென் - Joshua,"True. No other Pm was invited, no other Pm was respected like this. In fact, all of them got down at Andrews Air Base and walked all the way to White House to meet POTUS. modi hai tho mumkin hai"
21,Murshid Choudhury  ,Modi Affairs Minister
22,Dhundi,"Big nonsense, Jai Sankar unable to tell why Modi went to US this time wasting the public money
9 yrs what big changes ???? Everything got increased and people are looted heavily by the govt and finally too much of tours and travels"
23,ballu shinde,PR Minister of PR govt.. Designated posts are just for name sake under this feku government..
24,tj,Enumerate them please.
25,Birender Kumar Lal,Kiya chal raha janta 2024 me jabab degi ok manipur jayen santi layen bolna bi nahi mediya france dikha raha kam ki bat karen ok
26,Srini1205,Also gutter gas was a  truly path breaking idea or shucking oxygen!
27,Tony Simon,Big changes in the world? Can you elaborate more on this sir
28,Doron Mahajne,
29,MM,Pray tell us what are the 'big changes' effected by Modi in world politics? There's a limit to such PR nonsense?
22,indian1st,Yeh banda sirf English achi bolta hai...
23,P7,New Hardip Singh 
24,Albert P'Rayan,How long will @DrSJaishankar please his boss and spread #disinformation? The whole world knows that there was opposition to @narendramodi's visit to the US.
25,Santhosh,None
20,Kami Sama , isko koi prachar mantri bana do yaar
21,Cyril Mendonsa,Accha what image he inherited other than a elected Pm of india like all other predecessors
22,Common Man,"Yes, only for modi people protested near US white house."
23,OTP Life,Only Smita Prakash should get excited
24,Kumar mohan,"As the External Affairs Minister, your priority is to focus on the development of our country and handle foreign affairs. The image that our PM Modi created in America is not your concern; leave that to the media, as they can explain his image more elaborately."
25,Ahmed Shiraz,"What a bottomless pit of servility !!! And what a revelation ! That all the former PMs of India were Junior, Inexperienced leaders and had No Credibility !! Way to go Mr. Minister @DrSJaishankar !!!"
26,I am also Tom Cruise,"If that is the case, then why Indians r not granted visa free arrival in USA and Europe.??"
20,AyBee,"His credibility and image was shot to smithereens not by the opposition, but by his very own ministers. So what are you on about?"
21,VJ ,
22,Govindappa C,This is what the reality.
15,Introvert,Can you tell what we achieved during his usa trip?
16,v!k, shameless bunch of pathological liars!
17,Lyn ,When you have someone to buy expensive drones and grant business..why not get the welcome
18,SAURAV KUMAR,"What is so different? What is the initiative of the India world acknowledging ? 
@DrSJaishankar"
19,Achyutanand Mishra,"S Jaishankar,  You're not elective leader how can we believe that You're working for Nation. For concern of people you're diplomat appointed as External Affairs minister from RS . NOT LOK SABHA WHERE PEOPLE CHOOSE"
20,S.A.K.Sh.R. Sangathan,"What did India get in return? Dollar at 82 against rupee. 
India is buying drones rather than make in India drones."
21,Sengolin Sidra ,"You are right, no one investigates in India like the way PM Modi investigates in India"
18,NRJ,The word is megalomaniac…
19,Anand ,Maybe EAM just woke up - see this reception of another PM and image as well.
20,L.Das,Let's not be parochial to undermine other PM's visits.The difference is that they never wanted to integrate with a specific US regime to go to the level of even campaigning in US elections. Every visit was unique with some crucial deals signed and bilateral bottlenecks addressed.
21,Khalid Shaikh,"Correct and that's why over 70 congressmen and women did not attend the session and send letters asking Biden administration to question modi on his human right record isn't it?

Propaganda works only upto a point and now after 10 yrs everyone realizes it & r changing their view"
15,Varun Raina,"@narendramodi bahut mahaan hai. Ab janta kaa b Soch lo thora.
Manipur is in worst condition & nobody is concerned about them.
J&K is totally failed by centre indirect governance, not able to conduct exams of jobs, electricity crises, without assembly elected members since 2018"
16,Umarul Farooque,"Yes, this time it was different, he faced the media and answered a question. At least he answered to one question. Of course, that’s a big deal."
17,The Crazy brother 5th(疯狂的兄弟 5),
18,Mohammed Afroz ,Laudable Lassen
19,Ganesh Jain,"We see such speech as .
Extension tactics..!"
20,Manoj,waiter
18,Amrit sagar Bhalla,"Manipur is burning, when will he try and takes a position? Stop andhbhkati man."
19,Rawal Sagar,"Defending the undefendable degraded soul? Justifying lies spoken at first 2 questions only pc?
Insulting the learned, dedicated experienced leadership in India."
20,Nagabhushan,Good Joke...
21,Vishal Gopal Mishra,Are bhai ANI walo thoda sound badhao yaar... headphones me bhi sunayi nahi deta 
22,Emperor Xi,Bahut ho Gaya Bhajan.
23,S John,"Yes , it was different.
All the PM s are welcomed by US citizens not migrants or any event management company."
24,vinay kumar,ज़हर पी लिए?
25,Rahul Wagh,"Yes Modi Have a Different Image. 
Ps : अंग्रेजी के कुछ तो शब्द ठीक से रट जाता नरेंद्र"
19,sibasis nanda,"Yea it's different. He was the only Indian PM on the official US visit who was questioned by international media regarding worsening media independence, state supported atrocities on minorities and attack on democracy. 

Never happened before. It's definitely a first."
20,Harendra kumar,This is called bootlicking
17,Dhai Kilo Ka Tweet,Sir itni padhai likhai kar ke aapne chaatne ki naukri le li?
18,Ved Nayak,Manipur too waiting for hiim. It has been 2 months. All these tall claims of setting the world agenda sounds very hollow when one fails to keep one's own house in order.
19,Ankur in the Evening ,I can't believe that some people in replies here are taking this speech seriously 
20,Anurag Verma,Kuchh nahin bus Modi ji ne angreji mein b@k©hod! karane ke liye bheja hai ise
21,Ahmed Shiraz,"And Mr. Minister ! Here is what the Hon’ble PM, had said about Climate Change…. Lest you have forgotten!!@DrSJaishankar"
22,Rajendra Singh,Agree @DrSJaishankar
23,Mediarama,DHL being DHL
24,Coldcall Call,Modi ji has initiated big changes in the world in last 9yrs  ..jaise ISRO ka chandrayaan
25,Amrit sagar Bhalla,Chamchagiri 24*7
20,Abhishek Sanjay Bhandare,"PM Modi is Global Leader, He believe in ""Vasudhaiv Kutumbkam "" ."
21,BABUSHKA ,this coz PR and DRAMA was better no no more better than previous visit
22,Sushil Sharma,"202307250717
Your voice is repeatedly blocked repeatedly."
23,Umar shad khan,Kuch alag sa hehhehehhe Sab Bhakt ko mamu bana k rakha hai
24,Přïñčè ŸÀĎÁV,What rubbish
25,Srinivasan Ranganathan,What is the effect the world has seen because of Mr. Midi's position? Has the ukraine war stopped? Has sri lanka implemented 13th amendment giving equality to tamils? Has China restored to its original position on the border? When will this bluff and bluster by our EAM end?
26,Vijay,"He's foreign minister and Rtd.IFS officer but still he could not able to understand the pulse of other countries

They strongly delivered the message to India through Brack Obama who's strong ruling party leader. That's how US used to send the message

what a pathetic leaders"
19,not an IAS,None
20,khush kalsi,Yad krka ana thaa
21,Maybe Yoda,
18,Raju,Chup kar waiter
19,P Kaur,Is his wife Chinese?
20,samurai_rounin,The poodle speaks !!
21,Ethir Kaathu,Nityananda is much better in clarity
22,sanjayunmasks,Overpriced drones will buy you anything
23,Deepak Soni,Let there be a statutory limit on flattery. In terms of numbers and also in terms of length.
24,Rocket,Please visit Manipur as well.
25,Indian first and last,"He is more proactive in global politics, but FM should remember INC laid down the foundation of social, economic, and political infrastructure that is being used by the PM Modi, PSEs/PSBs and nuclear plants and missiles, Modi is privating were created by INC, don't forget fathers"
19,CMA RAVI,Don't spoil your image by sycophancy
20,PL,Want to see accountability in India itself
21,Harsh,WhatsApp University ko refer kree h chicha
15,Amol Khodke,LOL 
16,Murali Subramaniam,None had 2 part BBC documentary on them
17,COLONEL S YUVRAJ SINGH,Sabko 2024 ki chinta hai.  Apni apni parsenol position ki bhi.
18,praneeth rao,hum sab jante hai ki event karne me mahir hai smita ji all time fav PM
19,ravi@ce,
20,Giggsy,Ratio
21,Raunak Khaitan aka Mr Wonderful,India doesn't take any position mr jaishankar
22,ANI,"#WATCH | PM Modi receives a special spiritual welcome in Johannesburg, South Africa"
20,News Arena India,"Vice President Jagdeep Dhankhar takes blessings of his teacher in Chittorgarh. 

No attitude of post & down to earth personality makes him favourite of many even in the opposition."
